Category,Sub-Category,Month,Millions of Dollars,Pipeline_exc_datetime
Cereals and bakery products,Cereals,1983/12/01,11300,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1984/01/01,11459,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1984/02/01,11544,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1984/03/01,11702,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1984/04/01,11801,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1984/05/01,11851,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1984/06/01,12024,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1984/07/01,11993,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1984/08/01,12066,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1984/09/01,12185,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1984/10/01,12127,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1984/11/01,12221,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1984/12/01,12134,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1985/01/01,12191,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1985/02/01,12170,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1985/03/01,12092,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1985/04/01,12200,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1985/05/01,12165,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1985/06/01,12155,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1985/07/01,12204,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1985/08/01,12308,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1985/09/01,12474,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1985/10/01,12532,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1985/11/01,12745,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1985/12/01,12929,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1986/01/01,13039,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1986/02/01,13023,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1986/03/01,13137,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1986/04/01,13066,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1986/05/01,13225,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1986/06/01,13338,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1986/07/01,13487,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1986/08/01,13453,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1986/09/01,13704,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1986/10/01,13910,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1986/11/01,14000,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1986/12/01,14114,2023/08/30 08:26:00
Cereals and bakery products,Cereals,1987/01/01,14064,2023/08/30 08:26:00
